Style Number,Brand,Style Description,Color,Size,Price Per,Dozens Price,Case Price,Weight Per (Oz)
G2000,Gildan,ex. 2000 Ultra Cotton™; Classic Fit Adult T-Shirt,,,5.5,,,0.0
BB401,American Apparel,ex. Poly-Cotton Short Sleeve Crew Neck,,,8.25,,,0.0
980,Anvil,ex. Anvil 4.5 oz. Ringspun Cotton Short-Sleeve T-Shirt,,,6.5,,,0.0
CGM451,Callaway,Opti-Vent Polo,Black,S,34.15,,,5.0
CGM452,Callaway,Tonal Polo,Black,S,50.0,,,0.0
CGM451,Callaway,Opti-Vent Polo,Quiet Shade 039,"",34.15,,,
CGM451,Callaway ,Opti-Vent Polo,White 100,"",34.15,,,
CGM451,Callaway ,Opti-Vent Polo,Peacoat Navy 410,"",34.15,,,
CGM451,Callaway ,Opti-Vent Polo,Medium Blue 424,"",34.15,,,
CGM451,Callaway ,Opti-Vent Polo,Salsa Red 625,"",34.15,,,
CGM692,Callaway,Birdseye Polo,Black 001,"",36.65,,,
CGM692,Callaway,Birdseye Polo,Quiet Shade 039,"",36.65,,,
CGM692,Callaway ,Birdseye Polo,White 100,"",36.65,,,
CGM692,Callaway ,Birdseye Polo,Peacoat Navy 410,"",36.65,,,
CGM692,Callaway,Birdseye Polo,Blue Atoll,"",36.65,,,
CGM692,Callaway,Birdseye Polo,Magnetic Blue 492,"",36.65,,,
CGM692,Callaway,Birdseye Polo,Parachute Purple 501,"",36.65,,,
CGM692,Callaway,Birdseye Polo,Salsa Red 625,"",36.65,,,
CGM452,Callaway,Tonal Polo,Monument Grey 062,"",49.62,,,
CGM452,Callaway,Tonal Polo,Peacoat Navy 410,"",49.62,,,
CGM452,Callaway ,Tonal Polo,Palace Blue 479,"",49.62,,,
CGM452,Callaway,Tonal Polo,Salsa Red 625,"",49.62,,,
"",Stanley,Stanley Quencher H2.O FlowState™ Tumbler 30 oz,Cream,"",,,,
"",Stanley,Stanley Quencher H2.O FlowState™ Tumbler 30 oz,Charcoal,"",,,,
104488,Antigua,Generation 1/4 Zip Pullover - TALL,Black 010,"",50.0,,,
104488,Antigua,Generation 1/4 Zip Pullover - TALL,Navy 005,"",50.0,,,
104366,Antigua,Generation 1/4 Zip Pullover,Black,"",45.25,,,
104366,Antigua,Generation 1/4 Zip Pullover,Navy 005,"",45.25,,,
